Tornado,536
Bomber,351
Cannon,345
Electro Giant,335
Lightning,271
Golden Knight,217
Phoenix,166
Barbarian Barrel,138
Cannon Cart,35
Mega Knight,3
Sparky,1
Mortar,1
Battle Ram,1
