Knight,593
Hunter,586
Tornado,444
Ice Wizard,439
X,396
The Log,394
Fireball,374
Skeletons,365
Royal Delivery,331
Earthquake,319
Electro Wizard,317
Cannon Cart,288
Fisherman,244
Rocket,241
Bomb Tower,216
Spear Goblins,213
Tesla,186
Miner,149
Wall Breakers,147
Electro Spirit,106
Witch,85
Barbarian Hut,55
Mirror,45
Executioner,26
Golden Knight,22
Lava Hound,11
Balloon,9
Furnace,9
Dart Goblin,8
Skeleton Dragons,5
Elite Barbarians,5
Barbarians,3
Sparky,2
Goblin Barrel,2
Minion Horde,2
Prince,2
P.E.K.K.A,1
Bandit,1
Royal Recruits,1
Wizard,1
Night Witch,1
Mega Knight,1
Mighty Miner,1
Flying Machine,1
Giant Skeleton,1
Giant Snowball,1
Goblins,1
Mega Minion,1
Mortar,1
