Earthquake,301
Firecracker,204
Bats,204
Barbarian Barrel,190
Wall Breakers,144
Skeletons,141
Miner,132
Electro Spirit,104
Furnace,25
Mega Knight,4
Hunter,2
Electro Wizard,1
