Arrows,856
Tesla,430
Fireball,428
Night Witch,388
X,374
Mega Knight,340
Inferno Dragon,333
Skeletons,313
Bomber,310
Zap,282
Knight,241
Ice Spirit,212
Lightning,208
The Log,200
Mega Minion,199
Bats,190
Hog Rider,183
Baby Dragon,175
Mini P.E.K.K.A,124
P.E.K.K.A,123
Golem,90
Goblin Giant,73
Electro Giant,24
Electro Wizard,20
Elite Barbarians,19
Ice Wizard,17
Phoenix,17
Firecracker,16
Dart Goblin,12
Fisherman,10
Rascals,8
Spear Goblins,7
Giant Skeleton,7
Dark Prince,6
Tornado,6
Rocket,4
Mighty Miner,4
Witch,4
Graveyard,4
Zappies,4
Hunter,3
Prince,3
Ram Rider,3
Lava Hound,2
Earthquake,2
Elixir Collector,2
Elixir Golem,2
Archers,2
Barbarian Hut,2
Flying Machine,2
Barbarian Barrel,2
Sparky,2
Wall Breakers,2
Barbarians,2
Clone,1
Royal Hogs,1
Bomb Tower,1
Cannon,1
Golden Knight,1
Rage,1
Goblin Drill,1
Minions,1
Minion Horde,1
Executioner,1
Miner,1
Inferno Tower,1
Guards,1
Goblin Barrel,1
Goblin Cage,1
Mirror,1
