The Log,437
Fireball,400
X,355
Tesla,313
Knight,291
Archers,230
Skeletons,146
Ice Spirit,128
Miner,4
Goblin Drill,3
Giant Skeleton,2
Tombstone,1
Skeleton Barrel,1
Goblin Barrel,1
