frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,predicted_elixirConsumed
00240,Rocket,83.0,X,105.0,Ice Wizard,55.0,Tornado,100.0,,,,6,False,False,0.0,0.0
00255,Rocket,83.0,X,105.0,Ice Wizard,55.0,Tornado,100.0,,,,6,False,False,0.0,0.0
00270,Rocket,83.0,X,105.0,Ice Wizard,55.0,Tornado,100.0,,,,6,False,False,0.0,0.0
00285,Rocket,83.0,X,105.0,Ice Wizard,55.0,Tornado,100.0,,,,7,False,False,0.0,0.0
00300,Rocket,83.0,X,105.0,Ice Wizard,55.0,Tornado,100.0,,,,7,False,False,0.0,0.0
00315,Rocket,83.0,X,105.0,Ice Wizard,55.0,Tornado,100.0,,,,7,False,False,0.0,0.0
00330,Rocket,83.0,X,105.0,Ice Wizard,55.0,Tornado,100.0,,,,7,False,False,0.0,0.0
00345,Rocket,83.0,X,105.0,Ice Wizard,55.0,Tornado,100.0,,,,7,False,False,0.0,0.0
00360,Rocket,83.0,X,105.0,Ice Wizard,55.0,Tornado,100.0,,,,7,False,False,0.0,0.0
00375,Rocket,83.0,X,105.0,Ice Wizard,55.0,Tornado,100.0,,,,8,False,False,0.0,0.0
00390,Rocket,83.0,X,105.0,Ice Wizard,55.0,Tornado,100.0,,,,8,False,False,0.0,0.0
00405,Rocket,83.0,X,105.0,Ice Wizard,55.0,Tornado,100.0,,,,8,False,False,0.0,0.0
00420,Rocket,83.0,X,105.0,Ice Wizard,55.0,Tornado,100.0,,,,8,False,False,0.0,0.0
00435,Rocket,83.0,X,105.0,Ice Wizard,55.0,Tornado,100.0,,,,8,False,False,0.0,0.0
00450,Rocket,83.0,X,105.0,Ice Wizard,55.0,Tornado,100.0,,,,9,False,False,0.0,0.0
00465,Rocket,83.0,X,105.0,Ice Wizard,55.0,Tornado,100.0,,,,9,False,False,0.0,0.0
00480,Rocket,83.0,X,105.0,Ice Wizard,55.0,Tornado,100.0,,,,9,False,False,0.0,0.0
00495,Rocket,83.0,X,105.0,Ice Wizard,55.0,Tornado,100.0,,,,9,False,False,0.0,0.0
00510,Rocket,83.0,X,105.0,Ice Wizard,55.0,Tornado,100.0,,,,9,False,False,0.0,0.0
00525,Rocket,83.0,X,105.0,Ice Wizard,55.0,Tornado,100.0,,,,9,False,False,0.0,0.0
00540,Rocket,83.0,X,105.0,Ice Wizard,55.0,Tornado,100.0,,,,10,False,False,0.0,0.0
00555,Rocket,83.0,X,105.0,Knight,58.0,Tornado,100.0,Ice Wizard,55.0,3.0,7,True,True,3.0,3.0
00570,Rocket,83.0,X,105.0,Knight,58.0,Tornado,100.0,,,,7,False,False,0.0,0.0
00585,Rocket,83.0,X,105.0,Knight,58.0,Tornado,100.0,,,,7,False,False,0.0,0.0
00600,Rocket,83.0,X,105.0,Knight,58.0,Tornado,100.0,,,,7,False,False,0.0,0.0
00615,Rocket,83.0,X,105.0,Knight,58.0,Tornado,100.0,,,,7,False,False,0.0,0.0
00630,Rocket,83.0,X,105.0,Knight,58.0,Tornado,100.0,,,,8,False,False,0.0,0.0
00645,Rocket,83.0,X,105.0,Knight,58.0,Tornado,100.0,,,,8,False,False,0.0,0.0
00660,Rocket,83.0,X,105.0,Knight,58.0,Tornado,100.0,,,,8,False,False,0.0,0.0
00675,Rocket,83.0,X,105.0,Knight,58.0,Tornado,100.0,,,,8,False,False,0.0,0.0
00690,Rocket,83.0,X,105.0,Knight,58.0,Tornado,100.0,,,,8,False,False,0.0,0.0
00705,Rocket,83.0,X,105.0,Knight,58.0,Tornado,100.0,,,,8,False,False,0.0,0.0
00720,Rocket,83.0,X,105.0,Knight,58.0,Tornado,100.0,,,,9,False,False,0.0,0.0
00735,Rocket,83.0,X,105.0,Knight,58.0,Tornado,100.0,,,,9,False,False,0.0,0.0
00750,Rocket,83.0,X,105.0,Knight,58.0,Tornado,100.0,,,,9,False,False,0.0,0.0
00765,Rocket,83.0,X,105.0,Knight,58.0,Tornado,100.0,,,,9,False,False,0.0,0.0
00780,Rocket,83.0,X,105.0,Knight,58.0,Tornado,100.0,,,,9,False,False,0.0,0.0
00795,Rocket,83.0,The Log,97.0,Knight,58.0,Tornado,100.0,X,105.0,2.0,4,True,True,5.0,6.0
00810,Rocket,83.0,The Log,97.0,Knight,58.0,Tornado,100.0,,,,4,False,False,0.0,0.0
00825,Rocket,83.0,The Log,97.0,Knight,58.0,Tornado,100.0,,,,4,False,False,0.0,0.0
00840,Rocket,83.0,The Log,97.0,Knight,58.0,Tornado,100.0,,,,4,False,False,0.0,0.0
00855,Rocket,83.0,The Log,97.0,Tesla,96.0,Tornado,100.0,Knight,58.0,3.0,1,True,True,3.0,3.0
00870,Rocket,83.0,The Log,97.0,Tesla,96.0,Tornado,100.0,,,,1,False,False,0.0,0.0
00885,Rocket,83.0,The Log,97.0,Tesla,96.0,Tornado,100.0,,,,2,False,False,0.0,0.0
00900,Rocket,83.0,The Log,97.0,Tesla,96.0,Tornado,100.0,,,,2,False,False,0.0,0.0
00915,Rocket,83.0,The Log,97.0,Tesla,96.0,Tornado,100.0,,,,2,False,False,0.0,0.0
00930,Rocket,83.0,The Log,97.0,Tesla,96.0,Tornado,100.0,,,,2,False,False,0.0,0.0
00945,Rocket,83.0,The Log,97.0,Tesla,96.0,Tornado,100.0,,,,2,False,False,0.0,0.0
00960,Rocket,83.0,The Log,97.0,Tesla,96.0,Tornado,100.0,,,,3,False,False,0.0,0.0
00975,Rocket,83.0,The Log,97.0,Tesla,96.0,Tornado,100.0,,,,3,False,False,0.0,0.0
00990,Rocket,83.0,The Log,97.0,Tesla,96.0,Tornado,100.0,,,,3,False,False,0.0,0.0
01005,Rocket,83.0,The Log,97.0,Tesla,96.0,Tornado,100.0,,,,3,False,False,0.0,0.0
01020,Rocket,83.0,The Log,97.0,Tesla,96.0,Tornado,100.0,,,,3,False,False,0.0,0.0
01035,Rocket,83.0,The Log,97.0,Tesla,96.0,Tornado,100.0,,,,3,False,False,0.0,0.0
01050,Rocket,83.0,The Log,97.0,Tesla,96.0,Tornado,100.0,,,,4,False,False,0.0,0.0
01065,Rocket,83.0,The Log,97.0,Tesla,96.0,Tornado,100.0,,,,4,False,False,0.0,0.0
01080,Rocket,83.0,The Log,97.0,Tesla,96.0,Tornado,100.0,,,,4,False,False,0.0,0.0
01095,Rocket,83.0,The Log,97.0,Tesla,96.0,Tornado,100.0,,,,4,False,False,0.0,0.0
01110,Rocket,83.0,The Log,97.0,Tesla,96.0,Tornado,100.0,,,,4,False,False,0.0,0.0
01125,Rocket,83.0,The Log,97.0,Tesla,96.0,Tornado,100.0,,,,4,False,False,0.0,0.0
01140,Rocket,83.0,The Log,97.0,Tesla,96.0,Tornado,100.0,,,,5,False,False,0.0,0.0
01155,Rocket,83.0,The Log,97.0,Tesla,96.0,Tornado,100.0,,,,5,False,False,0.0,0.0
01170,Rocket,83.0,Ice Wizard,55.0,Tesla,96.0,Tornado,100.0,The Log,97.0,2.0,3,True,True,2.0,2.0
01185,Rocket,83.0,Ice Wizard,55.0,Tesla,96.0,Tornado,100.0,,,,3,False,False,0.0,0.0
01200,Rocket,83.0,Ice Wizard,55.0,Tesla,96.0,Tornado,100.0,,,,3,False,False,0.0,0.0
01215,Rocket,83.0,Ice Wizard,55.0,Tesla,96.0,Tornado,100.0,,,,4,False,False,0.0,0.0
